driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/2 239 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/4 20 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-radio/2 237 29 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/5 26 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/6 67 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/3 286 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/1 124 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/2 82 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/3 288 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/4 250 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/4 293 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/6 289 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/5 229 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/3 323 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/4 1284 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/7 40 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/3 31 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/8 28 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/5 41 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/8 39 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/2 76 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/4 30 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/3 87 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/7 36 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/4 113 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/12 12 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/8 65 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/5 38 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/9 25 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/13 28 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/8 13 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/10 12 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/6 5 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/10 40 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/13 7 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/11 20 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/7 97 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/10 32 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/9 67 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/11 55 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/6 168 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/9 224 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/5 53 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/12 60 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/9 17 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/6 57 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/14 589 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/7 22 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/2 49 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/4 63 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/14 28 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/11 174 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/3 43 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/3 63 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/12 179 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/5 165 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-drinking/2 100 13 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/15 49 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/13 79 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/15 170 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/4 72 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/16 46 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/6 70 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/4 98 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/7 57 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/17 15 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/14 68 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/5 290 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/18 16 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/1 109 4 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/19 7 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/8 69 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/16 267 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/17 110 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/18 97 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/19 88 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/15 85 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-radio/3 304 29 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/6 320 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/20 12 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/7 52 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/20 65 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-radio/4 45 29 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/5 38 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/5 55 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/9 196 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-drinking/3 97 13 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/21 35 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/21 181 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/6 81 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/24 22 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/6 31 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/22 24 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/19 44 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/24 81 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/16 203 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/8 317 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/18 62 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/26 101 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/25 33 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/23 21 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/22 208 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-radio/5 36 29 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/25 22 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/9 44 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/26 50 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/8 30 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/10 271 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/17 282 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/23 266 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/11 876 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/12 45 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/27 90 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/21 35 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/27 23 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/29 56 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
talking-talking/13 158 2 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/28 43 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/29 13 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/31 55 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/22 53 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/20 53 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/28 43 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/7 40 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/10 35 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/11 50 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/31 51 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/30 296 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-talking_to_passenger/12 39 30 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/30 10 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/10 278 5 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/23 347 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/8 23 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/12 157 3 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/7 55 17 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-drinking/4 76 13 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/32 39 1 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/8 66 14 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/32 153 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/24 170 8 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/33 196 0 {'age': 22, 'gender': 'Female', 'exp': 'Less than 1 year', 'd_freq': 'Once a week or less'}
blinks-blinking/1 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/3 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/2 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/4 8 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/5 12 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/6 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/7 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-left_mirror/1 268 18 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/8 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/9 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-left/1 213 19 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/13 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/10 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/11 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-front/1 221 20 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/12 8 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/15 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/14 8 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/16 13 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-center_mirror/1 214 21 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/18 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-front_right/1 217 22 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/17 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/19 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-right/1 203 24 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/23 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-right_mirror/1 185 23 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/22 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-infotainment/1 168 25 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/21 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/20 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_zone-steering_wheel/1 434 26 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/24 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/25 13 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/26 7 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/27 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/29 9 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/28 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/30 12 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/31 12 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/32 13 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/33 12 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/35 12 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/34 13 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/36 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/38 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/37 11 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
blinks-blinking/39 10 28 {'age': 47, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/1 35 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/1 28 17 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/1 25 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/3 13 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/2 102 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/2 34 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/1 51 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/2 95 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/1 342 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/4 27 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/1 17 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/1 409 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/5 16 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/4 14 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/2 60 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/2 188 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/3 105 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/1 544 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
